ticker,best_maxR_pct,best_annR_pct,best_ratio,expiry,dte,spot,put_strike,put_cost,call_strike,call_credit,net_cost_per_share,min_return_pct
BKNG,0.7,1.95,11.6995,2026-10-16,133,168.32000732421875,168.4,16.9,168.6,17.8,167.42,0.59
SLV,2.68,9.65,8.5302,2026-09-18,105,62.790000915527344,63.0,5.3,63.5,6.25,61.84,1.88
MSTR,5.86,31.0,6.5831,2026-08-21,77,119.37850189208984,120.0,17.1,125.0,18.4,118.08,1.63
ADBE,2.3,11.4,5.2707,2026-08-21,77,254.4949951171875,255.0,21.9,260.0,22.25,254.14,0.34
AMZN,2.85,14.26,4.9998,2026-08-21,77,252.7899932861328,255.0,15.85,260.0,15.85,252.79,0.87
NFLX,1.53,7.46,4.8777,2026-08-21,77,81.75,82.0,5.75,83.0,5.75,81.75,0.31
COIN,3.9,19.88,4.4757,2026-08-21,77,153.19500732421875,155.0,20.65,160.0,19.85,154.0,0.65
DHR,2.71,13.53,4.2828,2026-08-21,77,184.17999267578125,185.0,11.2,190.0,10.4,184.98,0.01
PLTR,3.6,18.26,3.8044,2026-08-21,77,138.36000061035156,140.0,14.25,145.0,12.65,139.96,0.03
NOW,4.08,14.9,3.7379,2026-09-18,105,115.4000015258789,116.0,15.8,120.0,15.9,115.3,0.61
NVDA,2.6,12.91,3.6765,2026-08-21,77,212.53500366210938,215.0,16.0,220.0,14.1,214.44,0.26
BDX,21.86,98.82,3.5216,2026-09-18,105,152.27000427246094,175.0,7.9,195.0,0.15,160.02,9.36
CRM,2.69,13.39,3.4175,2026-08-21,77,187.64999389648438,190.0,15.4,195.0,13.15,189.9,0.05
XLE,23.86,94.97,3.2774,2026-09-30,117,58.150001525878906,74.0,2.69,75.0,0.29,60.55,22.21
IT,3.44,12.49,3.2673,2026-09-18,105,163.74000549316406,165.0,18.5,170.0,17.9,164.34,0.4
IBM,2.08,5.81,3.0534,2026-10-16,133,289.4949951171875,290.0,33.15,295.0,33.65,288.99,0.35
HII,21.88,98.95,3.0296,2026-09-18,105,293.9800109863281,370.0,28.9,390.0,2.9,319.98,15.63
VEEV,3.51,12.72,3.0117,2026-09-18,105,172.7041015625,175.0,20.0,180.0,18.8,173.9,0.63
FSLR,3.81,19.38,2.9564,2026-08-21,77,290.92999267578125,300.0,41.55,310.0,33.85,298.63,0.46
ORLY,20.44,90.87,2.9251,2026-09-18,105,89.5199966430664,104.0,8.0,117.33,0.1,97.42,6.75
DD,17.47,75.04,2.9175,2026-09-18,105,47.724998474121094,55.0,3.5,60.0,0.15,51.07,7.68
SYY,9.69,55.02,2.8414,2026-08-21,77,75.4000015258789,87.5,6.7,90.0,0.05,82.05,6.64
PNR,14.86,92.86,2.8258,2026-08-21,77,73.38500213623047,85.0,14.7,97.5,3.2,84.89,0.14
HAS,28.59,99.4,2.7637,2026-10-16,133,84.58000183105469,90.0,7.8,115.0,2.95,89.43,0.64
PGR,15.07,94.56,2.7323,2026-08-21,77,200.5800018310547,235.0,34.1,270.0,0.05,234.63,0.16
TEL,24.67,61.44,2.5027,2026-11-20,168,216.77999877929688,220.0,18.7,270.0,18.9,216.58,1.58
ADP,21.01,94.03,2.4711,2026-09-18,105,231.7949981689453,310.0,32.8,320.0,0.15,264.44,17.23
ICE,21.94,99.26,2.3991,2026-09-18,105,141.47000122070312,185.0,22.6,200.0,0.05,164.02,12.79
DRI,20.01,88.55,2.3839,2026-09-18,105,196.875,230.0,28.6,270.0,0.5,224.97,2.23
HON,20.27,89.96,2.3791,2026-09-18,105,217.68499755859375,260.0,32.7,300.0,0.95,249.43,4.24
SHOP,4.44,16.3,2.3124,2026-09-18,105,112.0999984741211,115.0,16.5,120.0,13.7,114.9,0.09
CTSH,21.18,95.01,2.3022,2026-09-18,105,53.09000015258789,72.5,8.9,75.0,0.1,61.89,17.14
WDAY,3.75,13.65,2.2671,2026-09-18,105,146.1999969482422,150.0,20.1,155.0,16.9,149.4,0.4
HIG,14.53,60.24,2.2556,2026-09-18,105,130.22000122070312,145.0,13.9,165.0,0.05,144.07,0.65
LQD,6.39,24.04,2.2547,2026-09-18,105,108.44000244140625,113.0,4.45,120.0,0.1,112.79,0.19
RTX,14.05,86.49,2.2509,2026-08-21,77,180.60000610351562,240.0,38.9,250.0,0.3,219.2,9.49
MMM,21.21,95.17,2.1931,2026-09-18,105,153.4199981689453,190.0,28.1,220.0,0.02,181.5,4.68
EFX,25.82,87.82,2.1588,2026-10-16,133,170.60000610351562,195.0,20.8,240.0,0.65,190.75,2.23
WYNN,21.16,94.87,2.1392,2026-09-18,105,103.91500091552734,125.0,20.1,150.0,0.21,123.81,0.97
TRI,21.36,70.11,2.0753,2026-10-16,133,85.95999908447266,95.0,12.2,115.0,3.4,94.76,0.25
TLT,25.07,84.75,2.069,2026-10-16,133,85.13009643554688,97.0,10.85,120.0,0.03,95.95,1.09
PHM,18.75,81.72,2.0518,2026-09-18,105,118.0,140.0,21.3,165.0,0.35,138.95,0.76
XOM,21.14,94.74,2.0373,2026-09-18,105,150.1649932861328,185.0,31.7,220.0,0.25,181.61,1.86
IP,21.34,95.92,2.0113,2026-09-18,105,33.85499954223633,47.5,7.4,50.0,0.05,41.2,15.28
CTVA,13.77,56.57,1.994,2026-09-18,105,77.9000015258789,90.0,10.2,100.0,0.2,87.9,2.39
JKHY,14.78,61.47,1.9759,2026-09-18,105,129.66000366210938,165.0,18.5,170.0,0.05,148.11,11.4
BR,9.14,35.55,1.973,2026-09-18,105,152.52000427246094,165.0,16.3,180.0,3.9,164.92,0.05
TMUS,20.2,89.59,1.9709,2026-09-18,105,178.75,220.0,38.1,260.0,0.55,216.3,1.71
ARES,14.08,58.06,1.9464,2026-09-18,105,127.08999633789062,145.0,20.0,165.0,2.45,144.64,0.25
